Country Name,Country Code,Lifeexpectancy,Agriculturaland,Children_out_of_school_primary ,Fertility_rate,GDP,GDP_per_capita,High-technology_exports,Household_final_consumption,Individuals_using_the_Internet,Labor_force,Population
OECD members,OED,80.28312399,11787226.2,,1.748486586,46659020669553,36412.09216,1153568899510,28433592869360,76.5197458,626012509,1281401703
Oman,OMN,77.12182927,14688,6278,2.737,69831770871,16627.3643,204251051,23032352146,66.13381127,2274923,4199810
Other small states,OSS,67.33112903,822750.8,,3.137726826,369948348463,12590.41858,,143420481558,43.42812715,12952162,29374084
Pacific island small states,PSS,70.75254202,8627,,3.243275475,8596930891,3644.381046,,,28.0136159,823423,2358955
Pakistan,PAK,66.33217073,362520,5599070,3.55,270556126820,1428.637628,259422148,215812569813,14,65423214,189380513
Palau,PLW,,50,,2.21,297645400,13981.83953,2201531,184299100,,,21288
Panama,PAN,77.81743902,22570,,2.541,52132289700,13134.04367,552034190,25264000000,51.20542499,1904010,3969249
Papua New Guinea,PNG,65.38770732,11900,,3.707,21060901604,2659.263507,,,7.9,3514995,7919825
Paraguay,PRY,73.04297561,218850,,2.509,27282581336,4109.367724,47679184,18985401196,48.43868795,3227150,6639119
Peru,PER,74.71341463,243306,72896,2.429,189212096470,6030.343259,195064245,123386823263,40.9,17209782,31376671
Philippines,PHL,69.00985366,124400,,2.958,292774099014,2878.33837,26192288870,215940173495,53.7,42982453,101716359
Poland,POL,78.20487805,143710,,1.32,477279647755,12564.48353,13444666348,278901355402,67.997,18326495,37986412
Portugal,PRT,81.52195122,36999.7,12414,1.23,199420256050,19252.63495,1905762003,130566947159,68.6329,5218272,10358076
Post-demographic dividend,PST,80.64646234,10595546.1,,1.639378954,44242836057682,40308.68351,1179284264329,26924319114868,79.0536858,549791565,1097570905
Pre-demographic dividend,PRE,59.50281022,8318283.6,,5.249019917,1302670365761,1524.22214,,952299507509,15.15434378,310367935,854646007
Puerto Rico,PRI,79.59612195,1977,,1.432,,29697.12779,,,79.46876883,1178300,3473181
Qatar,QAT,78.46270732,656,4340,1.929,164641483516,66346.52267,137486327,36176098901,92.88482645,1872414,2481539
Romania,ROU,74.96097561,138350,104026,1.52,177911101680,8978.389254,3536097090,109960506279,55.7632,9104062,19815481
Russian Federation,RUS,70.90853659,2177218.2,148860,1.75,1365864126833,9329.290713,9677335778,714680731304,73.41,76288278,144096870
Rwanda,RWA,66.62087805,18117,90676,3.967,8261034258,710.3483907,7610522,6578590578,18,5949395,11629553
Samoa,WSM,74.83870732,350,793,4.029,803985809.2,4149.411429,66788,,25.40700977,38887,193759
San Marino,SMR,,10,,,1569258068,47610.98508,,,,,32960
Sao Tome and Principe,STP,66.41665854,487,1346,4.518,315880811.1,1615.320711,200157,,25.82,64373,195553
